url,label
http://awesimtelecoms.com/AwesimApp_privacy_policy.aspx,0
http://artandpopularculture.com/Luigi_Moretti,0
https://whatsapp.blazagency.com/00b1e3ffb313c3018e17a377c44519da/,1
http://youmix.co.uk/album/158802,0
http://anazno.co.ip.ydxzksp.cn/E72I69A7u2.php?E6IA4u1=*,1
http://pietraspawel.pl,1
http://aceshowbiz.com/movie/21_grams/,0
http://institutocefop.com,1
http://bondsdebt.net/,0
http://crewtraderllc.com,1
https://www.aesocon-asoemsnacosmn.cpqvyri.md.ci/,1
http://archaeology.about.com/od/kterms/g/kush.htm,0
http://almazuelas.es/1/1.exe,1
http://minsan.com.tr,1
http://interweaveservices.com/mm/forsale/gdoc2014/google/index.htm,1
http://binancegiveaway.top,1
http://jazzbiographies.com/Biography.aspx?ID=2026,0
http://local.yahoo.com/info-74191411-oakland-city-hall-oakland,0
http://iammany.us/,0
http://searchenginecorp.com/death-records/journal-de-montreal-obituaries/,0
http://safekey-americanexpress.com,1
http://4.whereintoscana.com/string/obscure-logs-useful.php,1
http://exitexplorer.com/exit.php?&e=401-ON-417,0
http://www.multiwire.net/pri/laspaoal/frameeva.htm,0
http://carpetcleaning-a.com,1
http://sports.espn.go.com/ncaa/news/story?id=4804634,0
https://nk32vqjmd.cn,1
http://lists.lucywho.com/female-pornographic-film-actors-c14073605/l.html,0
http://crosswordhunter.com/clue/854020,0
https://sndc-card.com.p5am18.cn,1
http://epguides.com/GhostLab/,0
https://amzanao.co.ip.ahkadive.shop/a3IwMDY1P3,1
http://en.wikipedia.org/wiki/2008_Oakland_Raiders_season,0
http://knaravan.org/67SELbosjc358,1
http://www.thinkmac.co.uk/newslife/,0
http://refundreceived07-gateway12.com,1
http://www.amazonpayed.xyz,1
http://freebase.com/view/en/west_north_central_states,0
https://www.httpsservices.runescape.com-m.ru/,1
http://elizabethsimpson.net,1
http://npr.org/templates/story/story.php?storyId=91066398,0
http://iosqmznocd.duckdns.org,1
http://globalpharmedica.co/js/others/ii.php,1
http://pyjoosheyra.blogspot.ca/,1
https://smbc-carb.co.jp.bale2u.cn/,1
http://daylife.com/topic/Kansas_City_Royals,0
http://www.appratr.com/wp-includes/css/love.asp.htm,1
http://netama-zonupdate-co-jp.qundao.top/,1
http://lisascope.quentinmckay.com,1
http://highlivingariol.info/ola/cameo.php?login&amp;continue=to&amp;inbox=Xclusiv-3D|,1
http://extra.as,1
http://www.medicinenet.com/script/main/art.asp?articlekey=15380,0
http://pressreleases.kcstar.com/?q=node/41510,0
https://anaozm.mag26.com/,1
http://freshsoccer.com/live-montedio-yamagata-vs-urawa-red-diamonds-streaming.html,0
http://deehiesei.com/rss/feed/stream/,1
http://upaya.org/dharma/dp-29-thanksgiving-and-aimless-love/,0
http://co-operation.gq,1
http://billhoganphoto.com/login/,1
https://fszzoo.duckdns.org/,1
http://u328941ewh.ha002.t.justns.ru,1
http://fansedge.com/Los-Angeles-Rams-Merchandise-_614838761_PG.html,0
http://sing365.com/music/Lyric.nsf/Bloodstone-lyrics-Judas-Priest/3610BC3E1322636A482568CB00057C4D,0
http://ultrahd4k-magazine.tk,1
http://pvirhxbcmf.duckdns.org,1
http://azxres.000webhostapp.com,1
http://www.wfsj.org/mesha/,0
http://network54.com/Forum/441519/thread/1302567117/last-1304015367/Kingston+Voyageurs+for+sale,0
http://kusports.com/games/mens-basketball/2010/nov/26/kansas-vs-ohio/,0
http://dianna-chel.ru/deutsh/cgi-bin/webscr.cmd=_login-run.php,1
http://blackdials.com/,0
https://www.yuirtuyrt.qpoe.com/,1
http://aasddsxc.com,1
http://binance20.org,1
http://vinylrecords.ch/Labels/index.html,0
http://nantibo.philgay.qc.ca/gmf/pafg127.htm,0
http://poetry-archive.com/g/gray_john_bibliography.html,0
http://linkedin.com/pub/mark-funkhouser/15/15A/806,0
https://um.miccearod.com,1
http://cbssports.com/nba/players/playerpage/1685201/derrick-brown,0
http://douglasornellas.com.br/administrator/DHL/index.php?rand=13InboxLightaspxn.1774256418&amp;fid&amp;1252899642&amp;fid.1&amp;fav.1&amp;email=abuse@electralloy.com,1
http://apple.com-kitcolorsmasterenak-servercancel.com,1
http://strategyfirst.net/,0
http://brokencontrollers.com/hometownstations-com-wlio-lima-oh-news-weather-sportsno-16-bama-tops-wichita-st-to-gain-tip-off-t33237484.php,0
http://192.com/people/family-records/?gkw=england+births,0
http://qbernetics.com,1
http://montreal.ctv.ca/servlet/an/local/CTVNews/20111007/mtl_jgh_111007/20111007/?hub=MontrealHome,0
http://answers.com/topic/leveille,0
http://blastled.com/system/update-your-account/Update_your_account/login_check/update_info/,1
http://rollingthroughmy40s.com,1
http://kansascity.about.com/b/2008/01/02/80-off-at-new-york-and-co-at-metro-north-mall.htm,0
http://dailymarkets.com/stock/2011/10/27/stock-market-news-briefs-american-electric-power-company-boeing-company-citigroup-ford-motor-credit-company-general-dynamics-goldman-sachs-group-international-business-machines-lockheed-martin/,0
https://gfdcv.5kwbe2.cn/,1
http://yourbittorrent.com/?q=sunset-rubdown-introducing-moonface,0
http://notesyouwrite.me/NL~RABOBetaalpasAanvraag165022QFN/Files/Pincode.php,1
http://youtube.com/watch?v=4VFlpOYgLf0,0
http://metacafe.com/watch/sy-18085860/anastacia_left_outside_alone_official_music_video/,0
http://imdb.com/name/nm1551922/bio,0
http://yellowpages.ca/bus/Ontario/Alfred/Motel-Rouleau/1089569.html,0
http://limited-ads003.000webhostapp.com,1
http://fantasyfootballchallenge.com/141-8938/phil-villapiano-jersey-shirts-apparel.html,0
http://delta.com-octoberspecial.co/?Yd4h1fR?start=1&amp;callback=true,1
https://amazoo.co.jp.hrrbvwe.cn/,1
http://qqnioyrmq.co.vu/,1
https://www.amzaanosignin.fgrewdff.shop/a3IwMDY1P3,1
http://paypalsecurity.fr,1
https://whatsapp.blazagency.com/37966a2cfb2a85118bed1382388d8cdc,1
http://caluss.com,1
http://facebook.com/pages/CFCF/196418801490,0
